model,operation,n,mean_acc,sd_acc,r_surp_size,p_size,r_surp_logfreq,p_logfreq,r_surp_rawfreq,p_rawfreq,mean_surprisal
pythia-1b-deduped,Addition,8100,0.03987654320987654,0.1956691199742754,0.49316135926531635,0.0,-0.18634167868793525,3.3988006696641536e-64,-0.14414358398588226,7.335048957624945e-39,4.389313271604938
pythia-1b-deduped,Division,8100,0.021358024691358026,0.14457475392557775,0.5489340825381549,0.0,-0.08938797777943812,7.641052161302911e-16,-0.07741484283051052,3.0212524423114674e-12,4.611179681471836
pythia-1b-deduped,Multiplication,8100,0.0030864197530864196,0.05546975541855378,0.8722584414025452,0.0,-0.3749710238697288,8.38868971546052e-269,-0.21568462355494689,7.009863554296683e-86,8.585395146122686
pythia-1b-deduped,Subtraction,8100,0.02,0.13999999999999999,0.17429168396365702,2.8765464848032428e-56,-0.1029949072623037,1.5023596186623512e-20,-0.09903710811769552,4.111221664044569e-19,4.633291136188272
pythia-1.4b-deduped,Addition,8100,0.20666666666666667,0.4049142570416058,0.5719552956335643,0.0,-0.47159787889271126,0.0,-0.29928985574918887,2.8306809323885427e-167,3.118371864601418
pythia-1.4b-deduped,Division,8100,0.08962962962962963,0.28565041418153947,0.293231257019197,2.4032089064494986e-160,-0.19904801613021503,3.6259743580538824e-73,-0.14651709262177043,4.159856525856078e-40,3.9050231801727673
pythia-1.4b-deduped,Multiplication,8100,0.02654320987654321,0.16074410684685453,0.726699226542248,0.0,-0.4654409153921842,0.0,-0.23111905156991172,1.1255468303804935e-98,7.865194476092303
pythia-1.4b-deduped,Subtraction,8100,0.05296296296296296,0.22395956670155168,0.5868991517545966,0.0,-0.3678136689791019,5.979450596285703e-258,-0.30004882071852473,3.732447575818332e-168,4.3715314549575615
pythia-2.8b-deduped,Addition,8100,0.821358024691358,0.3830522418240997,0.34679771448086155,1.2041730820704238e-227,-0.184863509298378,3.420253049327696e-63,-0.09371253589132304,2.8775703181555114e-17,0.6026163858248864
pythia-2.8b-deduped,Division,8100,0.36987654320987656,0.4827710492490088,0.21678830062006554,9.183388678670678e-87,-0.2063160899725575,1.3839480698360555e-78,-0.1289581367558487,2.211901102380181e-31,1.919369358015649
pythia-2.8b-deduped,Multiplication,8100,0.1322222222222222,0.33873220421571887,0.6183249673769267,0.0,-0.46646883312216464,0.0,-0.21658239334102194,1.342946192681635e-86,5.651261469523112
pythia-2.8b-deduped,Subtraction,8100,0.8387654320987654,0.367747171321462,0.40968293709843984,0.0,-0.18105254729137973,1.2026271052553527e-60,-0.12730295582206347,1.284132037231703e-30,0.4863261792689194
pythia-6.9b-deduped,Addition,8100,0.7666666666666667,0.42295258468165076,0.34192630361207643,6.030445751827463e-221,-0.22548159690186448,6.876387699480957e-94,-0.11088525367206047,1.391370571333466e-23,0.7354590699849305
pythia-6.9b-deduped,Division,8100,0.32395061728395064,0.4679814257481786,0.3108725420631922,5.393634253542375e-181,-0.16967658097313448,2.2232799306433314e-53,-0.1169141037811477,4.721639284586237e-26,2.116462533267928
pythia-6.9b-deduped,Multiplication,8100,0.12086419753086419,0.3259693901060105,0.40530968047508037,5.92091e-318,-0.3278437631318249,3.0249158239753574e-202,-0.1542745012130629,2.5047614303118683e-44,6.164457426306642
pythia-6.9b-deduped,Subtraction,8100,0.6853086419753086,0.46439283716404034,0.33976981776511916,5.104478491966927e-218,-0.1929843192854733,8.317521811668744e-69,-0.1449736020864699,2.7036463897887257e-39,1.0067751653694812
pythia-12b-deduped,Addition,8100,0.8301234567901234,0.3755243045089618,0.33619989212928136,3.186055167441939e-213,-0.19382166403189224,2.1205435007825146e-69,-0.09764730073154189,1.2744887394675455e-18,0.5050826087998755
pythia-12b-deduped,Division,8100,0.19012345679012346,0.3923984301297567,0.016551099441922925,0.13636336533578813,-0.13791780235386716,1.0838985213964583e-35,-0.1013585769094359,5.994985241271893e-20,3.0375134861322097
